id,name,protein,dietary_fiber,sugar,category_id
113,＜畜肉類＞　うし　［輸入牛肉］　ヒレ　赤肉　生,20.5,0,0.3,1
114,＜畜肉類＞　うし　［子牛肉］　リブロース　皮下脂肪なし　生,21.7,0,0.3,1
115,＜畜肉類＞　うし　［子牛肉］　ばら　皮下脂肪なし　生,20.9,0,0,1
116,＜畜肉類＞　うし　［子牛肉］　もも　皮下脂肪なし　生,21.2,0,0.2,1
117,＜畜肉類＞　うし　［ひき肉］　生,17.1,0,0.3,1
118,＜畜肉類＞　うし　［ひき肉］　焼き,25.9,0,0.4,1
119,＜畜肉類＞　うし　［副生物］　舌　生,13.3,0,0.2,1
120,＜畜肉類＞　うし　［副生物］　舌　焼き,20.2,0,0.2,1
121,＜畜肉類＞　うし　［副生物］　心臓　生,16.5,0,0.1,1
122,＜畜肉類＞　うし　［副生物］　肝臓　生,19.6,0,3.7,1
123,＜畜肉類＞　うし　［副生物］　じん臓　生,16.7,0,0.2,1
124,＜畜肉類＞　うし　［副生物］　第一胃　ゆで,24.5,0,0,1
125,＜畜肉類＞　うし　［副生物］　第二胃　ゆで,12.4,0,0,1
126,＜畜肉類＞　うし　［副生物］　第三胃　生,11.7,0,0,1
127,＜畜肉類＞　うし　［副生物］　第四胃　ゆで,11.1,0,0,1
128,＜畜肉類＞　うし　［副生物］　小腸　生,9.9,0,0,1
129,＜畜肉類＞　うし　［副生物］　大腸　生,9.3,0,0,1
130,＜畜肉類＞　うし　［副生物］　直腸　生,11.6,0,0,1
131,＜畜肉類＞　うし　［副生物］　腱　ゆで,28.3,0,0,1
132,＜畜肉類＞　うし　［副生物］　子宮　ゆで,18.4,0,0,1
133,＜畜肉類＞　うし　［副生物］　尾　生,11.6,0,0,1
134,＜畜肉類＞　うし　［副生物］　横隔膜　生,14.8,0,0.3,1
135,＜畜肉類＞　うし　［副生物］　横隔膜　ゆで,21.3,0,0.2,1
136,＜畜肉類＞　うし　［副生物］　横隔膜　焼き,21.1,0,0.3,1
137,＜畜肉類＞　うし　［加工品］　ローストビーフ,21.7,0,0.9,1
138,＜畜肉類＞　うし　［加工品］　コンビーフ缶詰,19.8,0,1.7,1
139,＜畜肉類＞　うし　［加工品］　味付け缶詰,19.2,0,9.9,1
140,＜畜肉類＞　うし　［加工品］　ビーフジャーキー,54.8,0,6.4,1
141,＜畜肉類＞　うし　［加工品］　スモークタン,18.1,0,0.9,1
142,＜畜肉類＞　うま　肉　赤肉　生,20.1,0,0.3,1
143,＜畜肉類＞　くじら　肉　赤肉　生,24.1,0,0.2,1
144,＜畜肉類＞　くじら　うねす　生,18.8,0,0.2,1
145,＜畜肉類＞　くじら　本皮　生,9.7,0,0.2,1
146,＜畜肉類＞　くじら　さらしくじら,5.3,0,0,1
147,＜畜肉類＞　しか　あかしか　赤肉　生,22.3,0,0.5,1
148,＜畜肉類＞　しか　にほんじか　赤肉　生,23.9,0,0.3,1
149,＜畜肉類＞　しか　にほんじか　えぞしか　赤肉　生,22.6,0,0.6,1
150,＜畜肉類＞　しか　にほんじか　ほんしゅうじか・きゅうしゅうじか　赤肉　生,22.6,0,0.1,1
151,＜畜肉類＞　ぶた　［大型種肉］　かた　脂身つき　生,18.5,0,0.2,1
152,＜畜肉類＞　ぶた　［大型種肉］　かた　皮下脂肪なし　生,19.7,0,0.2,1
153,＜畜肉類＞　ぶた　［大型種肉］　かた　赤肉　生,20.9,0,0.2,1
154,＜畜肉類＞　ぶた　［大型種肉］　かた　脂身　生,5.3,0,0,1
155,＜畜肉類＞　ぶた　［大型種肉］　かたロース　脂身つき　生,17.1,0,0.1,1
156,＜畜肉類＞　ぶた　［大型種肉］　かたロース　皮下脂肪なし　生,17.8,0,0.1,1
157,＜畜肉類＞　ぶた　［大型種肉］　かたロース　赤肉　生,19.7,0,0.1,1
158,＜畜肉類＞　ぶた　［大型種肉］　かたロース　脂身　生,5.4,0,0,1
159,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　生,19.3,0,0.2,1
160,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　ゆで,23.9,0,0.3,1
161,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　焼き,26.7,0,0.3,1
162,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　とんかつ,22.0,0.7,9.1,1
163,＜畜肉類＞　ぶた　［大型種肉］　ロース　皮下脂肪なし　生,21.1,0,0.3,1
164,＜畜肉類＞　ぶた　［大型種肉］　ロース　赤肉　生,22.7,0,0.3,1
165,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身　生,5.1,0,0,1
166,＜畜肉類＞　ぶた　［大型種肉］　ばら　脂身つき　生,14.4,0,0.1,1
167,＜畜肉類＞　ぶた　［大型種肉］　ばら　脂身つき　焼き,19.6,0,0.1,1
168,＜畜肉類＞　ぶた　［大型種肉］　もも　脂身つき　生,20.5,0,0.2,1
169,＜畜肉類＞　ぶた　［大型種肉］　もも　皮下脂肪なし　生,21.5,0,0.2,1
170,＜畜肉類＞　ぶた　［大型種肉］　もも　皮下脂肪なし　ゆで,28.9,0,0.3,1
171,＜畜肉類＞　ぶた　［大型種肉］　もも　皮下脂肪なし　焼き,30.2,0,0.3,1
172,＜畜肉類＞　ぶた　［大型種肉］　もも　赤肉　生,22.1,0,0.2,1
173,＜畜肉類＞　ぶた　［大型種肉］　もも　脂身　生,6.5,0,0,1
174,＜畜肉類＞　ぶた　［大型種肉］　そともも　脂身つき　生,18.8,0,0.2,1
175,＜畜肉類＞　ぶた　［大型種肉］　そともも　皮下脂肪なし　生,20.2,0,0.2,1
176,＜畜肉類＞　ぶた　［大型種肉］　そともも　赤肉　生,21.4,0,0.2,1
177,＜畜肉類＞　ぶた　［大型種肉］　そともも　脂身　生,6.6,0,0,1
178,＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　生,22.2,0,0.3,1
179,＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　焼き,39.3,0,0.4,1
180,＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　とんかつ,25.1,0.9,14,1
181,＜畜肉類＞　ぶた　［中型種肉］　かた　脂身つき　生,18.3,0,0,1
182,＜畜肉類＞　ぶた　［中型種肉］　かた　皮下脂肪なし　生,19.7,0,0,1
